Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1960 [1960],1970 [1970],1980 [1980],1990 [1990],2000 [2000]
India,IND,Female,FEM,Afghanistan,AFG,9521,11578,2872,2234,4445
India,IND,Female,FEM,Albania,ALB,1,2,2,2,2
India,IND,Female,FEM,Algeria,DZA,6,2,2,1,0
India,IND,Female,FEM,American Samoa,ASM,0,0,2,3,4
India,IND,Female,FEM,Andorra,AND,2,13,3,6,8
India,IND,Female,FEM,Angola,AGO,233,95,39,45,78
India,IND,Female,FEM,Anguilla,AIA,0,0,0,2,3
India,IND,Female,FEM,Antigua and Barbuda,ATG,5,7,9,12,20
India,IND,Female,FEM,Argentina,ARG,62,136,216,124,140
India,IND,Female,FEM,Armenia,ARM,0,0,0,0,0
India,IND,Female,FEM,Aruba,ABW,13,12,11,51,68
India,IND,Female,FEM,Australia,AUS,4650,8782,19580,29547,44315
India,IND,Female,FEM,Austria,AUT,69,326,1416,2253,2667
India,IND,Female,FEM,Azerbaijan,AZE,0,0,0,0,0
India,IND,Female,FEM,"Bahamas, The",BHS,1,36,55,74,82
India,IND,Female,FEM,Bahrain,BHR,1519,2667,3077,8442,6384
India,IND,Female,FEM,Bangladesh,BGD,295599,326650,226332,118429,129791
India,IND,Female,FEM,Barbados,BRB,12,91,179,226,265
India,IND,Female,FEM,Belarus,BLR,0,0,0,0,0
India,IND,Female,FEM,Belgium,BEL,24,274,786,992,1478
India,IND,Female,FEM,Belize,BLZ,28,36,41,0,103
India,IND,Female,FEM,Benin,BEN,10,13,17,21,36
India,IND,Female,FEM,Bermuda,BMU,0,7,25,0,34
India,IND,Female,FEM,Bhutan,BTN,1743,2352,3176,4287,5787
India,IND,Female,FEM,Bolivia,BOL,0,2,3,29,52
India,IND,Male,MAL,Afghanistan,AFG,12437,14664,2767,1119,2459
India,IND,Male,MAL,Albania,ALB,0,0,0,0,1
India,IND,Male,MAL,Algeria,DZA,5,2,2,1,1
India,IND,Male,MAL,American Samoa,ASM,0,3,6,4,5
India,IND,Male,MAL,Andorra,AND,3,16,6,11,14
India,IND,Male,MAL,Angola,AGO,489,193,76,80,120
India,IND,Male,MAL,Anguilla,AIA,0,0,0,2,3
India,IND,Male,MAL,Antigua and Barbuda,ATG,4,6,13,22,27
India,IND,Male,MAL,Argentina,ARG,134,171,218,96,197
India,IND,Male,MAL,Armenia,ARM,0,0,0,0,0
India,IND,Male,MAL,Aruba,ABW,14,14,13,60,116
India,IND,Male,MAL,Australia,AUS,8877,9383,20590,29750,49794
India,IND,Male,MAL,Austria,AUT,98,438,1399,2464,4220
India,IND,Male,MAL,Azerbaijan,AZE,0,0,0,0,0
India,IND,Male,MAL,"Bahamas, The",BHS,1,37,76,94,104
India,IND,Male,MAL,Bahrain,BHR,2975,4000,12209,22090,32927
India,IND,Male,MAL,Bangladesh,BGD,342256,377924,553388,735935,806361
India,IND,Male,MAL,Barbados,BRB,11,117,240,236,264
India,IND,Male,MAL,Belarus,BLR,0,0,0,0,0
India,IND,Male,MAL,Belgium,BEL,88,349,812,1708,2054
India,IND,Male,MAL,Belize,BLZ,45,61,72,0,168
India,IND,Male,MAL,Benin,BEN,21,27,35,46,81
India,IND,Male,MAL,Bermuda,BMU,0,4,31,0,57
India,IND,Male,MAL,Bhutan,BTN,7420,10018,13523,18257,24644
India,IND,Male,MAL,Bolivia,BOL,0,2,3,62,64
